"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","35.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-31","1997","01","31","","","","","","","","","","","","8.8","",".0","","8.8","","0","","","","",""
"1997-02-01","1997","02","01","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-02","1997","02","02","","","","","","","","","","","","6.2","",".0","","6.2","","0","","","","",""
"1997-02-03","1997","02","03","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-04","1997","02","04","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-05","1997","02","05","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-06","1997","02","06","","","","","","","","","","","","2.0","",".0","","2.0","","0","","","","",""
"1997-02-07","1997","02","07","","","","","","","","","","","","0.0","T",".0","","0.0","T","0","","","","",""
"1997-02-08","1997","02","08","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-09","1997","02","09","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-10","1997","02","10","","","","","","","","","","","","2.0","",".0","","2.0","","0","","","","",""
"1997-02-11","1997","02","11","","","","","","","","","","","","30.2","",".0","","30.2","","0","","","","",""
"1997-02-12","1997","02","12","","","","","","","","","","","","4.8","",".0","","4.8","","0","","","","",""
"1997-02-13","1997","02","13","","","","","","","","","","","","19.6","",".0","","19.6","","0","","","","",""
"1997-02-14","1997","02","14","","","","","","","","","","","","13.0","",".0","","13.0","","0","","","","",""
"1997-02-15","1997","02","15","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-16","1997","02","16","","","","","","","","","","","","8.4","",".0","","8.4","","0","","","","",""
"1997-02-17","1997","02","17","","","","","","","","","","","","0.6","",".0","","0.6","","0","","","","",""
"1997-02-18","1997","02","18","","","","","","","","","","","","6.8","",".0","","6.8","","0","","","","",""
"1997-02-19","1997","02","19","","","","","","","","","","","","14.2","",".0","","14.2","","0","","","","",""
"1997-02-20","1997","02","20","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-21","1997","02","21","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-22","1997","02","22","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-23","1997","02","23","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-24","1997","02","24","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-25","1997","02","25","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-26","1997","02","26","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-27","1997","02","27","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-02-28","1997","02","28","","","","","","","","","","","","22.6","",".0","","22.6","","0","","","","",""
"1997-03-01","1997","03","01","","","","","","","","","","","","4.0","",".0","","4.0","","0","","","","",""
"1997-03-02","1997","03","02","","","","","","","","","","","","2.0","",".0","","2.0","","0","","","","",""
"1997-03-03","1997","03","03","","","","","","","","","","","","4.2","",".0","","4.2","","0","","","","",""
"1997-03-04","1997","03","04","","","","","","","","","","","","9.6","",".0","","9.6","","0","","","","",""
"1997-03-05","1997","03","05","","","","","","","","","","","","6.8","",".0","","6.8","","0","","","","",""
"1997-03-06","1997","03","06","","","","","","","","","","","","23.6","",".0","","23.6","","0","","","","",""
"1997-03-07","1997","03","07","","","","","","","","","","","","1.4","",".0","","1.4","","0","","","","",""
"1997-03-08","1997","03","08","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-09","1997","03","09","","","","","","","","","","","","2.8","",".0","","2.8","","0","","","","",""
"1997-03-10","1997","03","10","","","","","","","","","","","","1.2","",".0","","1.2","","0","","","","",""
"1997-03-11","1997","03","11","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-12","1997","03","12","","","","","","","","","","","","7.2","",".0","","7.2","","0","","","","",""
"1997-03-13","1997","03","13","","","","","","","","","","","","9.8","",".0","","9.8","","0","","","","",""
"1997-03-14","1997","03","14","","","","","","","","","","","","6.2","",".0","T","6.2","","0","","","","",""
"1997-03-15","1997","03","15","","","","","","","","","","","","0.0","",".0","T","0.0","T","0","","","","",""
"1997-03-16","1997","03","16","","","","","","","","","","","","12.0","",".0","","12.0","","0","","","","",""
"1997-03-17","1997","03","17","","","","","","","","","","","","38.2","",".0","","38.2","","0","","","","",""
"1997-03-18","1997","03","18","","","","","","","","","","","","43.2","",".0","","43.2","","0","","","","",""
"1997-03-19","1997","03","19","","","","","","","","","","","","2.8","",".0","","2.8","","0","","","","",""
"1997-03-20","1997","03","20","","","","","","","","","","","","0.2","",".0","","0.2","","0","","","","",""
"1997-03-21","1997","03","21","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-22","1997","03","22","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-23","1997","03","23","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-24","1997","03","24","","","","","","","","","","","","0.2","",".0","","0.2","","0","","","","",""
"1997-03-25","1997","03","25","","","","","","","","","","","","2.8","",".0","","2.8","","0","","","","",""
"1997-03-26","1997","03","26","","","","","","","","","","","","10.6","",".0","","10.6","","0","","","","",""
"1997-03-27","1997","03","27","","","","","","","","","","","","9.4","",".0","","9.4","","0","","","","",""
"1997-03-28","1997","03","28","","","","","","","","","","","","6.0","",".0","","6.0","","0","","","","",""
"1997-03-29","1997","03","29","","","","","","","","","","","","2.6","",".0","","2.6","","0","","","","",""
"1997-03-30","1997","03","30","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-03-31","1997","03","31","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-04-01","1997","04","01","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-02","1997","04","02","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-03","1997","04","03","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-04","1997","04","04","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-05","1997","04","05","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-06","1997","04","06","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-07","1997","04","07","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-08","1997","04","08","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-09","1997","04","09","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-10","1997","04","10","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-11","1997","04","11","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-12","1997","04","12","","","","","","","","","","","","","","","","2.4","","0","","","","",""
"1997-04-13","1997","04","13","","","","","","","","","","","","","","","","1.2","","0","","","","",""
"1997-04-14","1997","04","14","","","","","","","","","","","","","","","","7.2","","0","","","","",""
"1997-04-15","1997","04","15","","","","","","","","","","","","","","","","27.4","","0","","","","",""
"1997-04-16","1997","04","16","","","","","","","","","","","","","","","","2.0","","0","","","","",""
"1997-04-17","1997","04","17","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-18","1997","04","18","","","","","","","","","","","","","","","","2.7","","0","","","","",""
"1997-04-19","1997","04","19","","","","","","","","","","","","","","","","39.2","","0","","","","",""
"1997-04-20","1997","04","20","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-21","1997","04","21","","","","","","","","","","","","","","","","12.0","","0","","","","",""
"1997-04-22","1997","04","22","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-23","1997","04","23","","","","","","","","","","","","","","","","0.0","","0","","","","",""
"1997-04-24","1997","04","24","","","","","","","","","","","","","","","","1.2","","0","","","","",""
"1997-04-25","1997","04","25","","","","","","","","","","","","","","","","4.8","","0","","","","",""
"1997-04-26","1997","04","26","","","","","","","","","","","","","","","","0.3","","0","","","","",""
"1997-04-27","1997","04","27","","","","","","","","","","","","","","","","2.6","","0","","","","",""
"1997-04-28","1997","04","28","","","","","","","","","","","","","","","","17.4","","0","","","","",""
"1997-04-29","1997","04","29","","","","","","","","","","","","","","","","16.4","","0","","","","",""
"1997-04-30","1997","04","30","","","","","","","","","","","","","","","","7.2","","0","","","","",""
"1997-05-01","1997","05","01","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-02","1997","05","02","","","","","","","","","","","","1.4","",".0","","1.4","","0","","","","",""
"1997-05-03","1997","05","03","","","","","","","","","","","","3.6","",".0","","3.6","","0","","","","",""
"1997-05-04","1997","05","04","","","","","","","","","","","","11.6","",".0","","11.6","","0","","","","",""
"1997-05-05","1997","05","05","","","","","","","","","","","","10.2","",".0","","10.2","","0","","","","",""
"1997-05-06","1997","05","06","","","","","","","","","","","","10.6","",".0","","10.6","","0","","","","",""
"1997-05-07","1997","05","07","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-08","1997","05","08","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-09","1997","05","09","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-10","1997","05","10","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-11","1997","05","11","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-12","1997","05","12","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-13","1997","05","13","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-14","1997","05","14","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-15","1997","05","15","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-16","1997","05","16","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-17","1997","05","17","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-18","1997","05","18","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-19","1997","05","19","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-20","1997","05","20","","","","","","","","","","","","4.2","",".0","","4.2","","0","","","","",""
"1997-05-21","1997","05","21","","","","","","","","","","","","24.6","",".0","","24.6","","0","","","","",""
"1997-05-22","1997","05","22","","","","","","","","","","","","4.4","",".0","","4.4","","0","","","","",""
"1997-05-23","1997","05","23","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-24","1997","05","24","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-25","1997","05","25","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-26","1997","05","26","","","","","","","","","","","","0.0","",".0","","0.0","","0","","","","",""
"1997-05-27","1997","05","27","","","","","","","","","","","","3.3","",".0","","3.3","","0","","","","",""
"1997-05-28","1997","05","28","","","","","","","","","","","","11.8","",".0","","11.8","","0","","","","",""
"1997-05-29","1997","05","29","","","","","","","","","","","","4.0","",".0","","4.0","","0","","","","",""
"1997-05-30","1997","05","30","","","","","","","","","","","","20.4","",".0","","20.4","","0","","","","",""
"1997-05-31","1997","05","31","","","","","","","","","","","","5.0","",".0","","5.0","","0","","","","",""
"1997-06-01","1997","06","01","","18.0","","14.0","","16.0","","2.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-02","1997","06","02","","22.0","","14.0","","18.0","","0.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-03","1997","06","03","","19.0","","14.5","","16.8","","1.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-04","1997","06","04","","19.0","","14.5","","16.8","","1.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-05","1997","06","05","","18.5","","14.5","","16.5","","1.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-06","1997","06","06","","19.5","","13.5","","16.5","","1.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-07","1997","06","07","","18.0","","14.5","","16.3","","1.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-08","1997","06","08","","19.0","","14.5","","16.8","","1.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-09","1997","06","09","","21.0","","14.0","","17.5","","0.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-10","1997","06","10","","24.5","","14.5","","19.5","","0.0","","1.5","","0.0","",".0","","","","","","","","",""
"1997-06-11","1997","06","11","","22.0","","14.0","","18.0","","0.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-12","1997","06","12","","18.5","","14.0","","16.3","","1.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-13","1997","06","13","","23.0","","16.0","","19.5","","0.0","","1.5","","0.0","",".0","","","","","","","","",""
"1997-06-14","1997","06","14","","22.0","","16.0","","19.0","","0.0","","1.0","","0.0","",".0","","","","","","","","",""
"1997-06-15","1997","06","15","","21.0","","18.0","","19.5","","0.0","","1.5","","0.0","",".0","","","","","","","","",""
"1997-06-16","1997","06","16","","","M","","M","","M","","M","","M","0.0","",".0","","","","","","","","",""
"1997-06-17","1997","06","17","","","M","","M","","M","","M","","M","0.0","",".0","","","","","","","","",""
"1997-06-18","1997","06","18","","19.5","","15.5","","17.5","","0.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-19","1997","06","19","","18.0","","14.0","","16.0","","2.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-20","1997","06","20","","17.5","","13.5","","15.5","","2.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-21","1997","06","21","","17.5","","12.0","","14.8","","3.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-22","1997","06","22","","17.0","","14.0","","15.5","","2.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-23","1997","06","23","","17.5","","14.0","","15.8","","2.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-24","1997","06","24","","20.0","","14.0","","17.0","","1.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-25","1997","06","25","","18.5","","14.5","","16.5","","1.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-26","1997","06","26","","18.5","","13.0","","15.8","","2.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-27","1997","06","27","","19.0","","13.5","","16.3","","1.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-28","1997","06","28","","21.0","","13.5","","17.3","","0.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-29","1997","06","29","","18.5","","15.5","","17.0","","1.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-06-30","1997","06","30","","21.0","","13.5","","17.3","","0.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-07-01","1997","07","01","","18.7","","14.8","","16.8","","1.2","","0.0","","","","","","","","","","","","",""
"1997-07-02","1997","07","02","","20.9","","14.6","","17.8","","0.2","","0.0","","","","","","","","","","","","",""
"1997-07-03","1997","07","03","","25.0","","16.1","","20.6","","0.0","","2.6","","","","","","","","","","","","",""
"1997-07-04","1997","07","04","","26.6","","16.8","","21.7","","0.0","","3.7","","","","","","","","","","","","",""
"1997-07-05","1997","07","05","","23.3","","16.0","","19.7","","0.0","","1.7","","","","","","","","","","","","",""
"1997-07-06","1997","07","06","","22.6","","17.0","","19.8","","0.0","","1.8","","","","","","","","","","","","",""
"1997-07-07","1997","07","07","","19.3","","17.0","","18.2","","0.0","","0.2","","","","","","","","","","","","",""
"1997-07-08","1997","07","08","","19.4","","17.0","","18.2","","0.0","","0.2","","","","","","","","","","","","",""
"1997-07-09","1997","07","09","","19.5","","15.7","","17.6","","0.4","","0.0","","","","","","","","","","","","",""
"1997-07-10","1997","07","10","","20.0","","14.4","","17.2","","0.8","","0.0","","","","","","","","","","","","",""
"1997-07-11","1997","07","11","","20.0","","15.4","","17.7","","0.3","","0.0","","","","","","","","","","","","",""
"1997-07-12","1997","07","12","","21.6","","17.2","","19.4","","0.0","","1.4","","","","","","","","","","","","",""
"1997-07-13","1997","07","13","","22.7","","16.8","","19.8","","0.0","","1.8","","","","","","","","","","","","",""
"1997-07-14","1997","07","14","","23.4","","18.1","","20.8","","0.0","","2.8","","","","","","","","","","","","",""
"1997-07-15","1997","07","15","","23.3","","18.5","","20.9","","0.0","","2.9","","","","","","","","","","","","",""
"1997-07-16","1997","07","16","","24.2","","17.3","","20.8","","0.0","","2.8","","","","","","","","","","","","",""
"1997-07-17","1997","07","17","","23.5","","18.8","","21.2","","0.0","","3.2","","","","","","","","","","","","",""
"1997-07-18","1997","07","18","","22.5","","16.9","","19.7","","0.0","","1.7","","","","","","","","","","","","",""
"1997-07-19","1997","07","19","","25.3","","17.8","","21.6","","0.0","","3.6","","","","","","","","","","","","",""
"1997-07-20","1997","07","20","","26.9","","18.5","","22.7","","0.0","","4.7","","","","","","","","","","","","",""
"1997-07-21","1997","07","21","","22.8","","17.7","","20.3","","0.0","","2.3","","","","","","","","","","","","",""
"1997-07-22","1997","07","22","","21.6","","17.2","","19.4","","0.0","","1.4","","","","","","","","","","","","",""
"1997-07-23","1997","07","23","","21.5","","16.2","","18.9","","0.0","","0.9","","","","","","","","","","","","",""
"1997-07-24","1997","07","24","","22.3","","16.7","","19.5","","0.0","","1.5","","","","","","","","","","","","",""
"1997-07-25","1997","07","25","","20.5","","16.3","","18.4","","0.0","","0.4","","","","","","","","","","","","",""
"1997-07-26","1997","07","26","","21.3","","16.0","","18.7","","0.0","","0.7","","","","","","","","","","","","",""
"1997-07-27","1997","07","27","","26.0","","17.7","","21.9","","0.0","","3.9","","","","","","","","","","","","",""
"1997-07-28","1997","07","28","","24.8","","18.4","","21.6","","0.0","","3.6","","","","","","","","","","","","",""
"1997-07-29","1997","07","29","","22.8","","18.4","","20.6","","0.0","","2.6","","","","","","","","","","","","",""
"1997-07-30","1997","07","30","","22.5","","17.2","","19.9","","0.0","","1.9","","","","","","","","","","","","",""
"1997-07-31","1997","07","31","","22.8","","17.1","","20.0","","0.0","","2.0","","","","","","","","","","","","",""
"1997-08-01","1997","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-02","1997","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-03","1997","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-04","1997","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-05","1997","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-06","1997","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-07","1997","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-08","1997","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-09","1997","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-10","1997","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-11","1997","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-12","1997","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-13","1997","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-14","1997","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-15","1997","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-16","1997","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-17","1997","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-18","1997","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-19","1997","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-20","1997","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-21","1997","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-22","1997","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-23","1997","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-24","1997","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-25","1997","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-26","1997","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-27","1997","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-28","1997","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-29","1997","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-30","1997","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"1997-08-31","1997","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"1997-09-01","1997","09","01","","24.0","","18.0","","21.0","","0.0","","3.0","","0.0","",".0","","","","","","","","",""
"1997-09-02","1997","09","02","","23.0","","18.0","","20.5","","0.0","","2.5","","0.0","",".0","","","","","","","","",""
"1997-09-03","1997","09","03","","22.5","","17.0","","19.8","","0.0","","1.8","","0.0","",".0","","","","","","","","",""
"1997-09-04","1997","09","04","","23.0","","18.0","","20.5","","0.0","","2.5","","0.0","",".0","","","","","","","","",""
"1997-09-05","1997","09","05","","20.5","","15.5","","18.0","","0.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-06","1997","09","06","","20.5","","14.0","","17.3","","0.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-07","1997","09","07","","22.5","","16.5","","19.5","","0.0","","1.5","","0.0","",".0","","","","","","","","",""
"1997-09-08","1997","09","08","","24.0","","16.5","","20.3","","0.0","","2.3","","0.0","",".0","","","","","","","","",""
"1997-09-09","1997","09","09","","24.0","","16.5","","20.3","","0.0","","2.3","","0.0","",".0","","","","","","","","",""
"1997-09-10","1997","09","10","","22.0","","17.0","","19.5","","0.0","","1.5","","0.0","",".0","","","","","","","","",""
"1997-09-11","1997","09","11","","21.0","","15.5","","18.3","","0.0","","0.3","","0.0","",".0","","","","","","","","",""
"1997-09-12","1997","09","12","","19.0","","15.5","","17.3","","0.7","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-13","1997","09","13","","20.5","","15.0","","17.8","","0.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-14","1997","09","14","","20.0","","15.5","","17.8","","0.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-15","1997","09","15","","18.0","","15.0","","16.5","","1.5","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-16","1997","09","16","","16.0","","14.0","","15.0","","3.0","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-17","1997","09","17","","17.5","","14.0","","15.8","","2.2","","0.0","","0.0","",".0","","","","","","","","",""
"1997-09-18","1997","09","18","","18.5","","13.5","","16.0","","2.0","","0.0","","0.0","",".0","","","","","","","","",""
